LocationID,Latitude,Longitude,Zone,Borough
1,0.116357453,0.000782307,Newark Airport,EWR
2,0.433469667,0.00486634,Jamaica Bay,Queens
3,0.084341106,0.000314414,Allerton/Pelham Gardens,Bronx
4,0.043566527,0.000111872,Alphabet City,Manhattan
5,0.09214649,0.000497957,Arden Heights,Staten Island
6,0.150490543,0.000606461,Arrochar/Fort Wadsworth,Staten Island
7,0.107417171,0.000389788,Astoria,Queens
8,0.027590691,2.66E-05,Astoria Park,Queens
9,0.099784092,0.000338444,Auburndale,Queens
10,0.099839479,0.000435824,Baisley Park,Queens
11,0.079211039,0.000264521,Bath Beach,Brooklyn
12,0.036661301,4.15E-05,Battery Park,Manhattan
13,0.050281323,0.000149359,Battery Park City,Manhattan
14,0.175213698,0.001381778,Bay Ridge,Brooklyn
15,0.144336223,0.000925219,Bay Terrace/Fort Totten,Queens
16,0.141291874,0.000871889,Bayside,Queens
17,0.093522633,0.000322958,Bedford,Brooklyn
18,0.06979955,0.00014885,Bedford Park,Bronx
19,0.101824875,0.000546661,Bellerose,Queens
20,0.051440192,0.000134513,Belmont,Bronx
21,0.115973569,0.000380251,Bensonhurst East,Brooklyn
22,0.126170229,0.000472063,Bensonhurst West,Brooklyn
23,0.290556029,0.002195566,Bloomfield/Emerson Hill,Staten Island
24,0.046999962,6.07E-05,Bloomingdale,Manhattan
25,0.04714582,0.000124168,Boerum Hill,Brooklyn
26,0.123547807,0.00053404,Borough Park,Brooklyn
27,0.202508809,0.001340888,Breezy Point/Fort Tilden/Riis Beach,Queens
28,0.097960782,0.000291204,Briarwood/Jamaica Hills,Queens
29,0.071408313,0.000201674,Brighton Beach,Brooklyn
30,0.094509767,0.000145862,Broad Channel,Queens
31,0.096424567,0.000333976,Bronx Park,Bronx
32,0.054267216,0.000150879,Bronxdale,Bronx
33,0.053270293,0.000147417,Brooklyn Heights,Brooklyn
34,0.065705932,0.000173946,Brooklyn Navy Yard,Brooklyn
35,0.085787919,0.000323825,Brownsville,Brooklyn
36,0.087050787,0.000247666,Bushwick North,Brooklyn
37,0.14281004,0.000452063,Bushwick South,Brooklyn
38,0.083217569,0.000327393,Cambria Heights,Queens
39,0.132369621,0.000900283,Canarsie,Brooklyn
40,0.051850665,0.000108949,Carroll Gardens,Brooklyn
41,0.052793109,0.000143093,Central Harlem,Manhattan
42,0.092709227,0.000263897,Central Harlem North,Manhattan
43,0.099738618,0.000379663,Central Park,Manhattan
44,0.235688968,0.001944656,Charleston/Tottenville,Staten Island
45,0.045906863,9.14E-05,Chinatown,Manhattan
46,0.13447543,0.000926392,City Island,Bronx
47,0.089827556,0.000163198,Claremont/Bathgate,Bronx
48,0.043746744,9.43E-05,Clinton East,Manhattan
49,0.075290018,0.000203186,Clinton Hill,Brooklyn
50,0.055747987,0.000173249,Clinton West,Manhattan
51,0.095361344,0.000395757,Co-Op City,Bronx
52,0.028907671,4.52E-05,Cobble Hill,Brooklyn
53,0.161500913,0.000947531,College Point,Queens
54,0.076219245,0.000132452,Columbia Street,Brooklyn
55,0.149956808,0.000736275,Coney Island,Brooklyn
56,0.056847813,0.000180908,Corona,Queens
57,0.019270505,1.80E-05,Corona,Queens
58,0.059855409,0.000204981,Country Club,Bronx
59,0.037794807,6.29E-05,Crotona Park,Bronx
60,0.078648288,0.000161833,Crotona Park East,Bronx
61,0.117310808,0.000510772,Crown Heights North,Brooklyn
62,0.082259336,0.000158238,Crown Heights South,Brooklyn
63,0.119100722,0.000353191,Cypress Hills,Brooklyn
64,0.184451885,0.001057903,Douglaston,Queens
65,0.044607068,8.18E-05,Downtown Brooklyn/MetroTech,Brooklyn
66,0.054633459,0.000108379,DUMBO/Vinegar Hill,Brooklyn
67,0.099747078,0.000394282,Dyker Heights,Brooklyn
68,0.04933738,0.000111073,East Chelsea,Manhattan
69,0.078989645,0.000199052,East Concourse/Concourse Village,Bronx
70,0.063840318,0.000195458,East Elmhurst,Queens
71,0.093169455,0.000382573,East Flatbush/Farragut,Brooklyn
72,0.09520207,0.000323532,East Flatbush/Remsen Village,Brooklyn
73,0.085302021,0.0002918,East Flushing,Queens
74,0.110290936,0.000295038,East Harlem North,Manhattan
75,0.0876639,0.000240564,East Harlem South,Manhattan
76,0.241203016,0.001266601,East New York,Brooklyn
77,0.075461081,0.000191918,East New York/Pennsylvania Avenue,Brooklyn
78,0.09359445,0.000191114,East Tremont,Bronx
79,0.042624911,0.000107893,East Village,Manhattan
80,0.117212621,0.000407322,East Williamsburg,Brooklyn
81,0.197592772,0.000399567,Eastchester,Bronx
82,0.11987565,0.000323601,Elmhurst,Queens
83,0.105984933,0.000217464,Elmhurst/Maspeth,Queens
84,0.233623987,0.002073756,Eltingville/Annadale/Prince's Bay,Staten Island
85,0.057475147,0.000143638,Erasmus,Brooklyn
86,0.134245283,0.000623279,Far Rockaway,Queens
87,0.03690155,6.72E-05,Financial District North,Manhattan
88,0.035204604,5.73E-05,Financial District South,Manhattan
89,0.12279457,0.000447548,Flatbush/Ditmas Park,Brooklyn
90,0.030759162,5.53E-05,Flatiron,Manhattan
91,0.124996625,0.00053733,Flatlands,Brooklyn
92,0.117830067,0.000374947,Flushing,Queens
93,0.170998028,0.000594278,Flushing Meadows-Corona Park,Queens
94,0.049832608,6.26E-05,Fordham South,Bronx
95,0.113629605,0.00057277,Forest Hills,Queens
96,0.185180248,0.000547566,Forest Park/Highland Park,Queens
97,0.062476015,0.000163304,Fort Greene,Brooklyn
98,0.121661018,0.000485773,Fresh Meadows,Queens
99,0.183371489,0.001210165,Freshkills Park,Staten Island
100,0.024813109,3.75E-05,Garment District,Manhattan
101,0.101709836,0.000452343,Glen Oaks,Queens
102,0.136900485,0.000296595,Glendale,Queens
103,0.014305517,6.33E-06,Governor's Island/Ellis Island/Liberty Island,Manhattan
104,0.021220833,1.19E-05,Governor's Island/Ellis Island/Liberty Island,Manhattan
105,0.07742534,0.000368636,Governor's Island/Ellis Island/Liberty Island,Manhattan
106,0.049211012,0.000113617,Gowanus,Brooklyn
107,0.038041365,7.46E-05,Gramercy,Manhattan
108,0.111171412,0.000352866,Gravesend,Brooklyn
109,0.17826782,0.001169601,Great Kills,Staten Island
110,0.103946293,0.000525745,Great Kills Park,Staten Island
111,0.05993088,0.000208683,Green-Wood Cemetery,Brooklyn
112,0.107267876,0.000462069,Greenpoint,Brooklyn
113,0.032745351,5.80E-05,Greenwich Village North,Manhattan
114,0.031727035,4.70E-05,Greenwich Village South,Manhattan
